"Title","Alternative Title","Copyright","Author(s)","Song Book","Topic"
"Jesus, Saviour","","","Zac Poonen","",""
"Lord Jesus Christ, we bow in full surrender","","","Zac Poonen","",""
"Jesus ,my Lord, I bow in full surrender","","","Zac Poonen | Carl Boberg","",""
"When bowed with burdens and with care","","","Zac Poonen","",""
"If I have not forsaken all","Lord, give me light, that I might see","","Zac Poonen","",""
"From this earth I will soon be departing","","","Zac Poonen | John S. Sammis","",""
"The church is my home","","","Zac Poonen","",""
"A Sinner saved by Grace","","","Zac Poonen | Godfrey Thring","",""
"Fellowship O how sweet","","","Newton | Carl Boberg","",""
"Father, I adore You","","","Matt Brouwer | Carl Boberg","",""
"This is my desire","","","Hillsong","",""
"आज का दिन","Aaj ka Din","","Biju Thomas","",""
"What a friend we have in Jesus","","","Joseph M. Scriven","",""
"तेरा प्यार है महान","Tera pyaar hai mahan","","Yeshua Band | Carl Boberg","",""
"Take up your cross, the Saviour said","","","Charles Everest | Johann Sebastian Bach","",""
"Be Still for the presence of the Lord","","","Daniel J. Evans","",""
"Communion Hymn Slide","","","DELHI CFC | Matt Redman","",""
"जब देखूँ मैं वो सुनहरा क्रूस (When I Survey)","Jab dekhun mai wo sunhera krus","","Isaac Watts","",""
"When I Survey, the wondrous cross","","","Isaac Watts","",""
"पवित्र मुझे बना दे प्रभु","Pavitra Mujhe Bana de Prabu","","Filadelfia Music | Iyob Mavchi","",""
"Thank you Lord","","","Don Moen","",""
"Speak O Lord","","","Stuart Townend | Keith Getty | Krystin Getty | Carl Boberg","",""
"महिमा से तू जो भरा हुआ","Mahima se tu jo bhara hua","","Unknown | Krystin Getty","",""
"In his time","","","Maranatha Music | Pratik Joseph","",""
"धन्यवाद के साथ","Dhanyawad ke saath","","Shirin George | Wilson George | Daniel George","",""
"Lord, I lift Your name on high","You came from Heaven to earth","","Maranatha Music | Carl Boberg","",""
"Worthy is the Lamb","Thank you for the Cross, Lord","","Darlene Zschech | Carl Boberg","",""
"Just as I am","","","Charlotte Elliot | Michael W. Smith","",""
"जैसा मैं हूँ बग़ैर एक बात (Just as I am)","Jaisa main hoon bagair ek baat","","Charlotte Elliot | Mrs. Humphrey","",""
"योग्य है मेम्ना 
(Worthy is The Lamb)","Yogya hai memna","","Darlene Zschech","",""
"Session 1","","","DELHI CFC | Frederick William Faber","",""
"Session 2","","","DELHI CFC","",""
"Session 3","","","DELHI CFC | Carl Boberg","",""
"Great Is Thy Faithfulness","","","Thomas O. Chisholm","",""
"योग्य केवल तू","Yogya keval tu","","Unknown","",""
"Meekness and Majesty","","","Graham Kendrick","",""
"यहोवा चरवाहा मेरा","YAHOWA CHARWAHA MERA","","Unknown | Carl Boberg","",""
"On That Day","","","CityAlight","",""
"परम पिता की हम स्तुति गायें","Param Pita ki Hum Stuti Gaye","","Unknown","",""
"Jesus, the very thought of Thee","","","Bernard of Clairvaux | Carl Boberg","",""
"करते हैं तेरी हम स्तुति","Karte Hai Teri Hum Stuti","","Unknown","",""
"All heaven declares","","","Jack Hayford","",""
"Count your Blessings","","","Johnson Oatman Jr.","",""
"तेरे लहू से मुझे धोले तू प्रभु","Tere Lahu Se Mujhe Dho Le Tu Prabhu","","Samuel Minj","",""
"There Is Pow'r in the Blood","","","Lewis E. Jones","",""
"How Marvelous, How Wonderful","I Stand Amazed","","Bob Fitts","",""
"Jesus Lover of my soul","","","Charles Wesley | Ron Kenoly","",""
"I only want to love like Thee","","","Zac Poonen | Carl Boberg","",""
"तू पवित्र, पवित्र है","","","Anil Samuel","",""
"I'm pressing on the upward way","","","Johnson Oatman Jr.","",""
"यीशु का नाम है अदभुत नाम है","Yeshu ka naam hai adbhut naam hai","","Unknown | Carl Boberg","",""
"Light of the World","Here I am to Worship","","Tim Hughes","",""
"Here is Love, vast as the Ocean","","","William Rees","",""
"मेरे आने जाने में","Mere aane jaane me","","Filadelfia Music | Carl Boberg","",""
"A wonderful Saviour (C)","","Public Domain","Joseph M. Scriven","",""
"2 - Aye hai hum,tere charno me.","","","Carl Boberg","",""
"BEFORE OUR GOD","","","Carl Boberg","",""
"Before the Throne of God Above","","","Charles Everest","",""
"Be glad in the Lord","","","Carl Boberg","",""
"Begone unbelief, My Savior is near (G)","","","Carl Boberg","",""
"Behold, behold!","","","Carl Boberg","",""
"Behold, behold!I stand at the door and","","","Carl Boberg","",""
"Behold how good a thing it is","","","DELHI CFC","",""
"Be Still and Know","","","Carl Boberg","",""
"Bigger Than All My Problems.","","","Carl Boberg","",""
"Bind us together Lord","","","Carl Boberg","",""
"Blessed Assurance (C)","","","CityAlight","",""
"Blessed be the Name of the Lord (A)","","","Carl Boberg","",""
"Blessed be the name of the Lord (D)","","","Carl Boberg","",""
"Blessed Be Your Name (Matt Redman) (A)","","2002  Thank You Music(Admin.by EMI Christian Music Publishing) CCLI","Johnson Oatman Jr. | Jack Hayford","",""
"Blessing and honor (B)","","","Carl Boberg","",""
"Bless the Lord, O my soul (10000 reasons)","","","Carl Boberg","",""
"Bless the the lord, O my soul.(G)","","","Carl Boberg","",""
"2 - Bolo jai Milkar jai (C)","","","Carl Boberg","",""
"Break Thou the Bread of Life","","","Bob Fitts | Kiran Suryavanshi","",""
"Buried with Christ and raised with Him too","","","T Ryder","",""
"By-and-by we’ll see the King","","","Carl Boberg","",""
"By Your blood You have saved us","","","Billy Funk","",""
"Called to freedom through","","","Carl Boberg","",""
"Castle of my heart","","","Carl Boberg","",""
"Change my heart oh God (C-Em-Dm)","","","Carl Boberg","",""
"2 - Choti Choti Jeevan Gaadi (D)","","","Carl Boberg","",""
"Church of God beloved and chosen","","","Frances Ridley Havergal (1836-79)","",""
"City, O city, (E)","","","Carl Boberg","",""
"Come and Let Us Worship","","","Carl Boberg","",""
"Come as a wisdom to children","","","William and Gloria Gaither","",""
"Come Holy Spirit Fall afresh on me (D)","","","Carl Boberg","",""
"Come let us worship (F)","","","Carl Boberg","",""
"Come now is the time (D)","","","Carl Boberg","",""
"Come Saviour Jesus from above","","","Michael W. Smith","",""
"Come Saviour Jesus from above (F)","","","Michael W. Smith","",""
"Come thou fount of every blessing","","Public Domain","Robert Robinson","",""
"Come to the River of Life","","","Carl Boberg","",""
"Come ye sinners (YES I KNOW)","","","Anna W. Waterman","",""
"Courage, brother, do not stumble (G)","","","Carl Boberg","",""
"Create in me a clean heart O God","","","Dave Fellingham","",""
"Create in me a clean heart O God (E)","","","Dave Fellingham","",""
"Create in me a clean heart O God (G)","","","Dave Fellingham","",""
"Crossing the Calm sea with Jesus(Your cries have awoken the master)","","","Carl Boberg","",""
"Crown Him With Many Crowns","","","Matthew Bridges | Godfrey Thring","",""
"Day By Day and With Each Passing Moment (D)","","","Carl Boberg","",""
"Days are filled with sorrow and care","","","John M Moore","",""
"Dear Lord - Nick Vujicic","","","Carl Boberg","",""
"Deeper deeper in the love of Jesus","","","Charles Price Jones","",""
"2 - Dekh tere liye","","","Carl Boberg","",""
"2 - Dhanya hai Prabhu ka naam (G)","","","Carl Boberg","",""
"Did you ever talk to God above (God Answers Prayer)","","","Carl Boberg","",""
"Don't be afraid Jesus is watching you","","","Carl Boberg","",""
"Dont play hide and seek from","","","Carl Boberg","",""
"Doubt Him not although He leadeth","","","H E Govan","",""
"Down at the cross where my Saviour died","","","Elisha A Hoffman","",""
"Down from His glory ever-living story","","","William E Booth-Clibborn (1893-1969)","",""
"Do you ever search your heart (Is He Satisfied)","","","Carl Boberg","",""
"Do you know that you've been born again","","","Carl Boberg","",""
"Do you want a pilot signal then to Jesus","","","Carl Boberg","",""
"Drawn to the Cross which Thou hast blessed","","","G M Irons","",""
"Dying with Jesus by death reckoned mine","","","Daniel W Whittle  (1840-1901)","",""
"Earthly pleasures vainly call me","","","J Rowe","",""
"Eternal Father, strong to save","","","William Whiting","",""
"Everlasting Love","","","Carl Boberg","",""
"Everybody ought to know","","","Carl Boberg","",""
"Everybody seems to have (Let The Whole World Know)","","","Carl Boberg","",""
"Everyday they pass me by (People Need The Lord)","","","Carl Boberg","",""
"Every move I make","","","Carl Boberg","",""
"Everything is Beautiful in it’s own way","","","Carl Boberg","",""
"Everytime We Think of You","","","Carl Boberg","",""
"Exalted","","","Carl Boberg","",""
"Exalted The Lord Our God","","","Carl Boberg","",""
"Face Down","","","Carl Boberg","",""
"Face to face with Christ my Saviour","","","Mrs Frank A Breck","",""
"Facing a task unfinished","","","Frank Houghton (1894-1972)","",""
"Fairest of all the earth beside","","","M P Ferguson","",""
"Faithful One (D)","","","Carl Boberg","",""
"Faith is just believing what God","","","Mrs W. B. Liggett","",""
"Far above all is our Saviour","","","H E Govan","",""
"Far away the noise of strife","","","C Austin Miles","",""
"Far far away in heathen darkness dwelling","","","James McGranahan (1840-1907)","",""
"Father Abraham, had many sons,","","","Carl Boberg","",""
"Father although I cannot see","","","John Eddison","",""
"Father I adore You (G)","","","Carl Boberg","",""
"Father I can't explain this kind of love (Faithful Father)","","","Carl Boberg","",""
"Father in heaven (C-Em-Dm)","","","Carl Boberg","",""
"Father we ask (One Voice)","","","Carl Boberg","",""
"Father we love You (Glorify Thy Name) (C)","","","Carl Boberg","",""
"Father we love You (You Alone Deserve Our Praise)","","","Carl Boberg","",""
"Father Your love is precious","","","Carl Boberg","",""
"Fear not for times that are coming","","","Carl Boberg","",""
"Fear not, I am with you (Bb)","","","Carl Boberg","",""
"Fill My Eyes","","","Carl Boberg","",""
"Fill my eyes O my God","","","Ken Chant","",""
"Fill thou my life (F)","","","Carl Boberg","",""
"Fly Like an Eagle","","","Carl Boberg","",""
"Follow Follow","","","Carl Boberg","",""
"Follow ,Follow, I will follow Jesus (D)","","","Carl Boberg","",""
"For a fresh anointing Lord for service","","","Mrs. C.H. Norris (1862-1929)","",""
"For all the Lord has done for me","","","Charles H Gabriel","",""
"Forever O Lord","","","Carl Boberg","",""
"For ever with the Lord","","","J Montgomery","",""
"For I'm building a people (D)","","","Carl Boberg","",""
"For I'm persuaded to believe","","","Carl Boberg","",""
"For My sake and the gospel's","","","Edward Henry Bickersteth (1825-1906)","",""
"Forth in Thy Name, O Lord, I Go","","","Martin J. Nystrom","",""
"For Thou art great","","","Carl Boberg","",""
"For Thou O Lord (I exalt Thee) (A)","","","Carl Boberg","",""
"Forward soldiers bold and fearless","","","Carl Boberg","",""
"Four Days Late","","","Carl Boberg","",""
"Free from ourselves, new life begins","","","Robert Cheetham","",""
"Free from the law oh happy condition","","","Fanny Crosby","",""
"From every stain made clean","","","H H Booth","",""
"From every stormy wind that blows","","","H Stowell","",""
"From heaven You came (Servant King) (D)","","","Carl Boberg","",""
"From the brightness of the glory","","","Carl Boberg","",""
"From the cross.","","","Carl Boberg","",""
"From the Depths of My Heart","","","Carl Boberg","",""
"From the ends of the earth","","","Carl Boberg","",""
"From the heart whose cup o'erfloweth","","","Don Moen","",""
"From the rising of the Sun","","","Unknown","",""
"From this earth i will soon (G)","","","Zac Poonen.","",""
"Full Salvation full Salvation","","","Wilson George","",""
"Gentle Shepherd come and lead us","","","Gloria and William Gaither","",""
"Gin gin ke stuti karoon (G)","","","Carl Boberg","",""
"Give all ,give all for Jesus","","","Carl Boberg","",""
"Give ear to my words O Lord (Psalm 5)","","","Carl Boberg","",""
"Give me a vision Lord I plead","","","John W Peterson","",""
"Give Me Oil In My Lamp","","","Carl Boberg","",""
"Give thanks (E)","","","Carl Boberg","",""
"give your whole life to Jesus","","","Marie Johansen","",""
"Glory to His Name (E)","","","Carl Boberg","",""
"Glory to Thee Thou Son of God most High","","","Carl Boberg","",""
"God be with you till we meet again","","","Jeremiah E Rankin","",""
"God in heaven hath a treasure","","","tr. Frances Bevan","",""
"God is building a house (G)","","","Carl Boberg","",""
"God is calling the prodigal","","","C H Gabriel","",""
"God is for us Thou hast given","","","W J Govan","",""
"God is good all the time (D)","","","Carl Boberg","",""
"God is good who unto us has given","","","Carl Boberg","",""
"God is here, and that to bless us","","","James L Black","",""
"God Is My Refuge","","","Carl Boberg","",""
"God is our refuge and our strength (Psalm 46)","","","Psalm 46 | verses 1-5","",""
"God is still on the throne","","","Kittie L. Suffield","",""
"God is Strength of My Heart","","","Carl Boberg","",""
"God loved the world of sinners","","","Mrs M M Stockton","",""
"God made me for Himself to serve Him here","","","Henry Williams Baker (1821-77)","",""
"God of Wonders","","","Carl Boberg","",""
"God said set my people free(G)","","","Carl Boberg","",""
"God sent His son (G)","","","Carl Boberg","",""
"Gods Mighty Works.","","","Carl Boberg","",""
"God will make a way (G)","","","Don Moen","",""
"Go forth and tell O Church of God, awake","","Mrs M Seddon/Jubilate Hymns","J E Seddon (1915-83)","",""
"Go Go Go","","","Carl Boberg","",""
"Go labour on spend and be spent","","","Horatius Bonar (1808-89)","",""
"Gone from my heart the world","","","C.F.O.","",""
"Good Christian Men Rejoice","","","John Mason Neale","",""
"Gospel Bells","","","Carl Boberg","",""
"Grace! tis a charming sound","","","Philip Doddridge & Augustus Montague Toplady","",""
"Gracious Spirit dwell with me","","","Thomas T Lynch","",""
"Great is the gospel of our glorious God","","","William Vernon Higham   (1926 - )","",""
"Great is the Lord and most (A)","","","Carl Boberg","",""
"Great is the Lord","","","Carl Boberg","",""
"Great is Thy faithulness (D)","","","Carl Boberg","",""
"Great Love","","","Carl Boberg","",""
"Hail to the Lord's Annointed","","","Matt Redman","",""
"Ha-la-la-la-la-la-la-le-lu-jah","","","Carl Boberg","",""
"2 - Halleluiyah stuti gaye (A)","","","Carl Boberg","",""
"2 - Halleluiyah stuti gaye (Em)","","","Carl Boberg","",""
"Hallelujah for the Lord our God","","","Carl Boberg","",""
"Hallelujah Sing to Jesus","","","Crystal Lewis","",""
"Hark the Glad Sound","","","Philip Doddridge","",""
"Hark The Herald Angels Sing","","","Martin J. Nystrom","",""
"Hark 'tis the Shepherd's voice I hear","","","Alexcenah Thomas","",""
"Hast thou heard Him seen Him","","","Carl Boberg","",""
"HAVE COURAGE TO SAY NO!(You’re starting, my boy)","","","Ho­ra­tio R. Palm­er","",""
"Have Thine own way Lord (D)","","","Carl Boberg","",""
"Have Thy way Lord have Thy way","","","Carl Boberg","",""
"Have you any room for Jesus?","","","D W Whittle","",""
"Have You Heard The Voice Of Jesus","","","Carl Boberg","",""
"Hear My Cry","","","Carl Boberg","",""
"Hear the Lord of harvest sweetly calling","","","George Bennard","",""
"He bought me to his (D)","","","Carl Boberg","",""
"He came to live (D)","","","Carl Boberg","",""
"He did not come to judge the world","","","Carl Boberg","",""
"He faileth not for He is God (D)","","","Carl Boberg","",""
"He giveth more grace when the burdens","","","Annie Johnson Flint","",""
"He Has Brought Us This Far","","","Carl Boberg","",""
"He is exalted (E)","","","Carl Boberg","",""
"He is Jehovah (Em-G-B7)","","","Carl Boberg","",""
"He is my everything (G)","","","Carl Boberg","",""
"He is not a disappointment","","","D.K.","",""
"He is the Lord (E)","","","Carl Boberg","",""
"He is the Same unchanging Jesus","","","Carl Boberg","",""
"He leadeth me! O blessed thought (D)","","","J H Gilmore","",""
"He looked beyond my fault and saw my need (C)","","","Dottie Rambo","",""
"Help me to hear, as Jesus heard","","","Mary Bazeley","",""
"Here I am","","© 2003 Curious? Music","Stuart Garrard and Martin Smith","",""
"Here in Thy name we are gathered","","","Jennie Garnett","",""
"Here Is Love","","Public Domain","William Rees","",""
"Here we are (F)","","","Carl Boberg","",""
"Here We Are In Your Presence","","","Carl Boberg","",""
"He Set Me Free","","","Albert E. Brumley","",""
"He's given me a garment of praise","","© 1994 Restoration Music/Sovereign Music UK","David Hadden","",""
"He's got the whole world","","Public Domain","Traditional - Spiritual","",""
"He showed me His hands","","","Joseph Shabalala","",""
"He’s the Savior of my soul (F)","","","Carl Boberg","",""
"He that doth in the secret place","","","Psalm 91 v 1-6; 14 | 15 (Scottish Psalter)","",""
"He Who Would Valiant Be","","Public Domain","John Bunyan","",""
"Hide me now (Still)","","","Carl Boberg","",""
"His Hands Were Pierced","","","D Wood","",""
"His name for ever shall endure","","","Psalm 72","",""
"His name his name","","Public Domain","Unknown","",""
"His Name is Higher","","","Carl Boberg","",""
"His Name is Wonderful","","","Carl Boberg","",""
"Ho every one that is thirsty in spirit","","","Lucy J Rider","",""
"Holiness Holiness","","© 1995 Mercy/Vineyard Publishing/Copycare","Scott Underwood","",""
"Holy holy are You Lord (All the Heavens)","","Hillsong Publishing","Rueben Morgan","",""
"Holy, holy, holy (D)","","","Carl Boberg","",""
"Holy Holy Holy Holy","","","Carl Boberg","",""
"Holy Holy Holy Is The Lord","","","Carl Boberg","",""
"Holy Holy Holy Lord","","","Carl Boberg","",""
"Holy Holy Holy Lord God Almighty","","Public Domain","Reginald Heber","",""
"Holy One exalted for ever","","© 2003 Vineyard Music Aotearon/CopyCare","Charmaine Ford","",""
"Holy One Of Israel","","","Carl Boberg","",""
"Holy Spirit Come","","","Carl Boberg","",""
"Holy words long preserved (Ancient words)","","© 2001 Integrity's Hosanna! Music/Sovereign Music UK","Lynn DeShazo","",""
"Hosanna, Hosanna (G)","","","Carl Boberg","",""
"Hover O'er Me","","","Elwood H. Stokes","",""
"How deep the Father's love for us (D-E)","","","Stuart Townsend","",""
"How firm a foundation (G)","","Public Domain","Richard Keen","",""
"How good is the God we adore","","Public Domain","Joseph Hart (1712-68)","",""
"How great are You Lord (D)","","","Carl Boberg","",""
"How Great Is God's Love","","","Carl Boberg","",""
"How High the Heavens are","","","Carl Boberg","",""
"How I praise Thee precious Saviour","","","Mary E Maxwell/Ada  Rose","",""
"How lovely is (Better is one day) (D)","","","Carl Boberg","",""
"How lovely is Thy dwelling-place (altd 1)","","","(Psalm 84:1-5)","",""
"How lovely is Your dwelling place (E)","","","Carl Boberg","",""
"How precious, O Lord (D)","","","Carl Boberg","",""
"How Quickly life here passes on its way.","","The Salvation Army,Norway.","H.A.Tandberg","",""
"How shall they hear who have not heard","","Timothy Dudley Smith","Timothy Dudley Smith","",""
"How Sweet The Name Of Jesus Sounds","","Public Domain","John S. Sammis","",""
"2 - Hum bade chale hum dare nahi hum","","","Carl Boberg","",""
"Hungry I come (C)","","","Carl Boberg","",""
"I Am  A New Creation (D)","","","Carl Boberg","",""
"I am coming to the cross","","","W MacDonald","",""
"I AM DETERMINED, AND MADE UP MY MIND  (EB)","","","Carl Boberg","",""
"I am determined","","","Carl Boberg","",""
"I Am Not My Own","","","Carl Boberg","",""
"I am not skilled to understand (C)","","1987 Horrobin/Leavers","Dora Greenwell (1821-82)","",""
"I am redeemed oh praise the Lord","","","Julia Sterling","",""
"I am so glad that our Father in heaven","","","Fanny Crosby","",""
"I am Thine, O Lord; I have heard Thy voice","","","Francis Jane van Alstyne (1820-1915) (Fanny J Crosby)","",""
"I Am Trusting Thee Lord Jesus","","Public Domain","Frances Ridley Havergal","",""
"I Am Weak But Thou Art Strong","","","Anon","",""
"I Believe In Jesus (He's here now)","","1987 Mercy/Vineyard Publishing/Adm. by CopyCare","Marc Nelson","",""
"I bind unto myself today","","Public Domain","alt. | Ascribed to St Patrick trans. Cecil Frances Alexander","",""
"I Bow My Knee Before Your Throne","","1988 Integrity's Hosanna! Music Admin by Kingway's Thankyou Music","Bonnie Deuschle","",""
"I can hear my Saviour calling","","","E.W. Blandy","",""
"I Cannot Tell","","Public Domain","William Y. Fullerton","",""
"I Can Only Imagine","","","Carl Boberg","",""
"I cast all my cares upon You.","","","Carl Boberg","",""
"I clasp the hand of Love divine","","","Krystin Getty","",""
"I come my God for cleansing free","","","Daniel J. Evans","",""
"I Come To You Lord of all hope","","1999 Thankyou Music","Matt Parker & Paul Oakley","",""
"I come to you to sit at your feet","","© 2001 Thankyou Music/worshiptogether.com songs","Louise and Nathan Fellingham","",""
"I Could Wish You Joy and Peace","","","Carl Boberg","",""
"I do not know what lies ahead","","1947 Singspiration/MPI","Alfred B Smith  & Eugene Clarke","",""
"I don’t know about tomorrow (A)","","","Carl Boberg","",""
"I’d rather have Jesus than silver or gold (B)","","","Carl Boberg","",""
"I Exalt You Jesus (Lamb of God)","","","Carl Boberg","",""
"If I gained the world but lost the Saviour","","","Anna Olander tr. | various","",""
"If I have not forsaken (Lord help me judge) (D)","","","Carl Boberg","",""
"If I were a butterfly","","","Carl Boberg","",""
"If my people (Heal Our Land)","","","Carl Boberg","",""
"If My People who are called by My name","","1999 Thankyou Music","Ken Riley","",""
"If we call to Him (Sing for joy) (D)","","","Carl Boberg","",""
"If You Are Encouraged","","1993 Make Way Music","Vernon Sanders","",""
"If you can keep the faith (C)","","","Carl Boberg","",""
"I have a Friend so precious","","","Mrs L Shorey","",""
"I have a Maker (D)","","","Carl Boberg","",""
"I have a precious Book","","","Carl Boberg","",""
"I have a Shepherd One I love so well","","","Leonard Weaver","",""
"I have a song that Jesus gave me","","","Elton M Roth","",""
"I have a song that Jesus gave me (G)","","","Elton M Roth","",""
"I Have Decided to Follow Jesus","","","Anon","",""
"I have found a fortress (C)","","","Robin Mark","",""
"I have found a friend in Jesus (G)","","","Carl Boberg","",""
"I have found His grace is all complete (C)","","","Carl Boberg","",""
"I have heard so many songs (D)","","","Carl Boberg","",""
"I have heard so many songs (F)","","","Carl Boberg","",""
"I have one deep supreme desire","","","Thomas O Chisholm | 1945","",""
"I Hear Angels","","","Carl Boberg","",""
"I heard an old old story (E)","","","Eugene M Bartlett","",""
"I Heard the Voice of Jesus Say","","","Horatius Bonar","",""
"I hear the Savior say","","","Carl Boberg","",""
"I hear Thy welcome voice","","","Lewis Hartsough (1828-1919)","",""
"I Just Came To Praise The Lord","","","Carl Boberg","",""
"I know a precious brotherhood","","","Elihu Pedersen","",""
"I know I love Thee better Lord","","","Frances Ridley Havergal (1836-79)","",""
"I Know Not Why God's Wondrous Grace","","Public Domain","D.W. Whittle (1840-1901)","",""
"I Know Not Why God's Wondrous Grace","","","D. W. Whittle","",""
"I Know Who Holds Tomorrow","","","Carl Boberg","",""
"I lay in Zion (Cornerstone)","","","Carl Boberg","",""
"I lay my sins on Jesus","","","Horatius Bonar (1808-89)","",""
"I lift my heart to Thee","","","Charles Edward Mudie (1818-90)","",""
"I’ll praise my Maker while I’ve breath (Ps 146)","","Public Domain","Joachim Neander","",""
"I LOVE HIM BETTER EVERY DAY  (E)","","","Carl Boberg","",""
"I love the name of Jesus (D-E)","","","Carl Boberg","",""
"I love to hear the story","","","Emily H Miller","",""
"I love to tell the story","","Public Domain","Miss Hankey","",""
"I Love You Forever (G)","","","Carl Boberg","",""
"I love You Lord / You are the words ...","","","Carl Boberg","",""
"I love you Lord I worship you","","© 1999 Thankyou Music/worshiptogether.com songs","John Ellis","",""
"I love You Lord (Joy)","","","Carl Boberg","",""
"I love you Lord (you heard my cry )","","© 2003 Make Way Music","Vernon Sanders","",""
"I'm forgiven because you were forsaken (Amazing Love)","","","Carl Boberg","",""
"I'm gonna trust in God (D)","","","Carl Boberg","",""
"I'm more than conqueror through His blood","","","J Parker","",""
"Immortal Invisible","","Public Domain","Walter Chalmers Smith","",""
"I’m not ashamed to own my Lord (D)","","","Carl Boberg","",""
"I’m not ashamed to own my Lord","","Public Domain","Joachim Neander","",""
"I'm Pressing On The Upward Way (G)","","","Carl Boberg","",""
"I'm rejoicing night and day (g)","","","Carl Boberg","",""
"I'm So Glad","","","Carl Boberg","",""
"I’m so glad that Jesus lifted me (G)","","","Carl Boberg","",""
"I'm So Happy","","","Carl Boberg","",""
"I'm the property of Jesus","","","J H Watson","",""
"I must have the Saviour with me","","","Lizzie Edwards","",""
"I must needs go home by the way of the cross","","","J B Pounds","",""
"I'm yours and I'm willing to stand","","","Sue Rinaldi & Steve Bassett","",""
"In a Country Town or City","","","Carl Boberg","",""
"In Christ Alone (D)","","2001 Thankyou Music","Stuart Townend & Keith Getty","",""
"Indeed, Indeed, how good","","","Carl Boberg","",""
"I need Thee every hour","","","Annie Sherwood Hawkes (1835-1918)","",""
"I need you more","","© 1996 Integrity's Hosanna! Music/Kingsway's Thankyou Music/ Centergy Music/CopyCare","Lindell Cooley and Bruce Haynes","",""
"In full and glad surrender","","Public Domain","Frances Ridley Havergal (1836-79)","",""
"In heavenly armor (Battle belongs to the Lord) (Em)","","","Carl Boberg","",""
"In Heavenly Love Abiding","","Public Domain","Anna L. Waring","",""
"In His time, in His time (D)","","","Carl Boberg","",""
"In loving-kindness Jesus came","","Public Domain","Charles H Gabriel (1856-1932)","",""
"In moments like these (D)","","","Carl Boberg","",""
"In Our Midst","","","Carl Boberg","",""
"In shady, green pastures (D)","","","Carl Boberg","",""
"In tenderness He sought me","","","W Spencer Walton (1850-1906)","",""
"In the Bleak Midwinter","","","Christina G. Rosetti","",""
"In The Image Of God","","","Carl Boberg","",""
"In the mighty Name of Jesus (A)","","","Carl Boberg","",""
"In the Name of Jesus","","","Carl Boberg","",""
